text,label,is_anomaly
"User admin failed to login from 192.168.1.100 - Event ID: 4625",0,1
"User admin failed to login from 192.168.1.100 - Event ID: 4625",0,1
"User admin successfully logged in from 192.168.1.100 - Event ID: 4624",0,0
"User john successfully logged in from 10.0.0.5 - Event ID: 4624",0,0
"Firewall: Blocked connection from 8.8.8.8 to 192.168.1.5 port 22",2,1
"User admin accessed file C:\Windows\System32\config\SAM - Event ID: 5140",3,1
"User system successfully logged in from 127.0.0.1 - Event ID: 4624",0,0
"System Error: Disk space low on drive C: (5% remaining)",4,0
"Firewall: Blocked connection from 45.33.12.10 to 192.168.1.10 port 3389",2,1
"User guest failed to login from 172.16.5.100 - Event ID: 4625",0,1
"User admin successfully logged off - Event ID: 4634",1,0
"Firewall: Allowed connection from 192.168.1.100 to 8.8.8.8 port 443",2,0
"User john accessed file D:\Shared\confidential.docx - Event ID: 5140",3,0
"User mary successfully logged in from 192.168.1.105 - Event ID: 4624",0,0
"System Error: Service failed to start: Windows Update",4,0
"Firewall: Blocked connection from 103.74.19.104 to 192.168.1.1 port 22",2,1
"User admin successfully logged in from 192.168.1.100 - Event ID: 4624",0,0
"Multiple failed login attempts detected for user root - Event ID: 4625",0,1
"Firewall: Blocked connection from 5.188.206.18 to 192.168.1.15 port 3306",2,1
"System Error: Memory usage exceeded 90% threshold",4,1
"User admin changed password - Event ID: 4724",0,0
"User guest account disabled - Event ID: 4725",0,0
"User test created - Event ID: 4720",0,0
"Firewall: Blocked port scan from 45.33.100.12 to 192.168.1.1",2,1
"User admin added to administrators group - Event ID: 4732",0,0
"System Error: Database corruption detected",4,1
"User john failed to login from 10.0.0.5 - Event ID: 4625",0,1
"Firewall: Blocked connection from 192.168.1.50 to 192.168.1.1 port 445",2,1
"User admin modified registry key HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run",3,1
"User system scheduled task created - Event ID: 4698",0,0 
